hour_of_day,day_of_week,month,holiday,weekday,summertime,temp,dew,humidity,precip,snowdepth,windspeed,cloudcover,visibility,increase_stock,high_demand_percentage
5,5,1,0,0,0,0.042505592841163294,0.0796252927400468,0.4501427891480247,0.0,0.0,0.37214611872146125,0.316,1.0,low_bike_demand,0.0
21,4,1,0,1,0,0.174496644295302,0.1311475409836065,0.29890528319847687,0.0,0.0,0.545662100456621,0.857,1.0,low_bike_demand,0.0
21,3,8,0,1,1,0.8053691275167785,0.9414519906323185,0.6846739647786768,0.0,0.0,0.0,0.8109999999999999,1.0,low_bike_demand,0.0
1,6,1,0,0,0,0.2729306487695749,0.33723653395784536,0.5222513089005235,0.0,0.0,0.4383561643835617,0.0,1.0,low_bike_demand,0.0
17,0,3,0,1,0,0.46532438478747196,0.16393442622950816,0.03403141361256546,0.0,0.0,0.2397260273972603,0.446,1.0,low_bike_demand,0.0
17,3,3,0,1,1,0.8098434004474273,0.730679156908665,0.29902427415516414,0.0,0.0,0.31050228310502287,0.813,1.0,high_bike_demand,1.0
20,4,7,0,1,1,0.8948545861297539,1.0,0.617087101380295,0.0,0.0,0.46347031963470325,0.503,1.0,low_bike_demand,0.0
0,1,12,0,1,0,0.3131991051454138,0.39110070257611235,0.5546168491194668,0.0,0.0,0.49086757990867586,1.0,1.0,low_bike_demand,0.0
18,0,11,0,1,0,0.5749440715883669,0.7540983606557378,0.8056877677296526,0.0,0.0,0.41324200913242015,0.889,1.0,low_bike_demand,0.0
7,5,1,0,0,0,0.10290827740492169,0.14519906323185008,0.4675154688243693,0.0,0.0,0.28310502283105027,0.244,1.0,low_bike_demand,0.0
7,3,9,0,1,1,0.6219239373601788,0.7822014051522247,0.7483341266063778,0.0,0.0,0.2100456621004566,0.462,1.0,high_bike_demand,1.0
23,5,5,0,0,1,0.5055928411633109,0.48009367681498827,0.3600666349357448,0.0,0.0,0.3242009132420091,0.0,1.0,low_bike_demand,0.0
8,2,9,0,1,1,0.7225950782997762,0.9391100702576111,0.896358876725369,0.0,0.0,0.24200913242009134,0.617,1.0,low_bike_demand,0.0
6,1,6,0,1,1,0.7583892617449663,0.9672131147540982,0.8712517848643502,0.0,0.0,0.0,0.9009999999999999,0.8742138364779874,low_bike_demand,0.0
8,6,2,0,0,0,0.28635346756152125,0.37704918032786877,0.5861494526415991,0.0,0.0,0.25114155251141557,0.929,1.0,low_bike_demand,0.0
23,6,12,0,0,0,0.3042505592841163,0.27634660421545665,0.3401951451689671,0.0,0.0,0.16210045662100456,0.244,1.0,low_bike_demand,0.0
18,4,12,1,1,0,0.43847874720357943,0.4074941451990632,0.34233698238933835,0.0,0.0,0.018264840182648404,0.927,1.0,low_bike_demand,0.0
16,6,12,0,0,0,0.203579418344519,0.1311475409836065,0.25892432175154684,0.0,0.0,0.33789954337899547,0.0,1.0,low_bike_demand,0.0
21,2,9,0,1,1,0.7225950782997762,0.9274004683840747,0.8643503093764874,0.0,0.0,0.3744292237442922,0.7929999999999999,1.0,low_bike_demand,0.0
6,0,7,0,1,1,0.7449664429530201,0.9391100702576111,0.8374583531651595,0.0,0.0,0.35616438356164387,0.9009999999999999,0.9874213836477987,low_bike_demand,0.0
14,5,4,0,0,1,0.5995525727069351,0.7330210772833723,0.6813422179914326,0.0,0.0,0.16210045662100456,1.0,1.0,high_bike_demand,1.0
17,1,9,0,1,1,0.6868008948545862,0.5620608899297423,0.23024750118990955,0.0,0.0,0.3082191780821918,0.244,1.0,high_bike_demand,1.0
0,5,1,0,0,0,0.4899328859060402,0.6955503512880561,0.8844597810566398,0.0,0.0,0.2785388127853881,0.996,1.0,low_bike_demand,0.0
19,3,12,0,1,0,0.3512304250559284,0.4660421545667447,0.643979057591623,0.0,0.0,0.454337899543379,0.998,1.0,low_bike_demand,0.0
23,0,7,0,1,1,0.7337807606263981,0.9250585480093676,0.8304378867206093,0.0,0.0,0.16666666666666669,0.8109999999999999,0.9937106918238994,low_bike_demand,0.0
17,1,10,0,1,1,0.5861297539149889,0.765807962529274,0.8055687767729652,0.0,0.0,0.12100456621004567,1.0,0.9937106918238994,high_bike_demand,1.0
10,1,12,0,1,0,0.22595078299776283,0.2880562060889929,0.5166587339362209,0.0,0.0,0.0,0.262,1.0,low_bike_demand,0.0
16,4,12,0,1,0,0.4429530201342281,0.49648711943793905,0.5021418372203712,0.0,0.0,0.16666666666666669,0.9640000000000001,1.0,low_bike_demand,0.0
1,0,10,0,1,1,0.5861297539149889,0.730679156908665,0.7138267491670632,0.0,0.0,0.406392694063927,0.7929999999999999,1.0,low_bike_demand,0.0
23,2,5,0,1,1,0.4630872483221476,0.5971896955503513,0.6924083769633508,0.0,0.0,0.4611872146118722,0.359,1.0,low_bike_demand,0.0
10,0,11,0,1,0,0.4787472035794183,0.4824355971896955,0.4092099000475964,0.0,0.0,0.36986301369863017,0.0,1.0,low_bike_demand,0.0
16,0,11,0,1,0,0.4272930648769575,0.3395784543325526,0.2579723940980485,0.0,0.0,0.7100456621004567,0.48100000000000004,1.0,low_bike_demand,0.0
10,5,8,0,0,1,0.7606263982102908,0.9484777517564402,0.8154450261780104,0.0,0.0,0.0,0.762,1.0,low_bike_demand,0.0
16,0,7,0,1,1,0.9105145413870246,0.8079625292740046,0.27927177534507375,0.0,0.0,0.2077625570776256,0.8029999999999999,1.0,low_bike_demand,0.0
14,6,5,0,0,1,0.6375838926174496,0.822014051522248,0.8105663969538315,0.0,0.0,0.2876712328767123,0.7140000000000001,1.0,low_bike_demand,0.0
17,4,3,0,1,0,0.6733780760626398,0.6510538641686181,0.3762494050452165,0.0,0.0,0.4566210045662101,0.446,1.0,high_bike_demand,1.0
14,0,3,0,1,1,0.37807606263982096,0.5316159250585479,0.7504759638267491,0.0,0.0,0.13926940639269406,0.992,0.8867924528301886,low_bike_demand,0.0
4,4,6,0,1,1,0.6331096196868008,0.8196721311475409,0.8172298905283198,0.0,0.0,0.12328767123287673,0.0,1.0,low_bike_demand,0.0
14,5,9,0,0,1,0.7136465324384786,0.8196721311475409,0.6222037125178486,0.0,0.0,0.2876712328767123,0.978,1.0,high_bike_demand,1.0
16,3,1,0,1,0,0.4787472035794183,0.36299765807962525,0.2248929081389814,0.0,0.0,0.1278538812785388,0.244,1.0,low_bike_demand,0.0
8,3,11,1,1,0,0.3982102908277404,0.5737704918032787,0.8092574964302713,0.0,0.0,0.2031963470319635,0.244,1.0,low_bike_demand,0.0
1,1,9,0,1,1,0.6442953020134227,0.7798594847775174,0.6947881960970965,0.0,0.0,0.16210045662100456,0.988,1.0,low_bike_demand,0.0
18,5,3,0,0,0,0.37807606263982096,0.23419203747072595,0.17908138981437408,0.0,0.0,0.4269406392694064,0.466,1.0,low_bike_demand,0.0
10,4,7,0,1,1,0.8120805369127516,0.9765807962529274,0.7552356020942407,0.0,0.0,0.2785388127853881,0.972,1.0,low_bike_demand,0.0
20,0,8,0,1,1,0.7628635346756152,0.9250585480093676,0.7497620180866253,0.0,0.0,0.5753424657534246,0.875,0.949685534591195,low_bike_demand,0.0
11,5,4,0,0,1,0.7024608501118568,0.7517564402810303,0.5074964302712993,0.0,0.0,0.680365296803653,0.823,1.0,high_bike_demand,1.0
20,3,1,0,1,0,0.18791946308724833,0.22014051522248237,0.44895287958115176,0.0,0.0,0.24200913242009134,0.7929999999999999,1.0,low_bike_demand,0.0
11,4,11,0,1,0,0.46532438478747196,0.5995316159250584,0.6946692051404093,0.0,0.0,0.12328767123287673,1.0,0.9811320754716981,low_bike_demand,0.0
18,2,7,0,1,1,0.923937360178971,0.9484777517564402,0.47084721561161347,0.0,0.0,0.35616438356164387,0.856,1.0,high_bike_demand,1.0
3,5,2,0,0,0,0.20134228187919462,0.21077283372365335,0.40135649690623504,0.0,0.0,0.773972602739726,0.254,1.0,low_bike_demand,0.0
11,5,2,0,0,0,0.2416107382550335,0.2482435597189695,0.40064255116611136,0.0,0.0,0.4383561643835617,0.996,1.0,low_bike_demand,0.0
15,3,4,0,1,1,0.46532438478747196,0.65807962529274,0.853165159447882,0.0007344130493602876,0.0,0.39497716894977175,1.0,0.679245283018868,low_bike_demand,0.0
16,4,8,0,1,1,0.9284116331096196,0.9742388758782199,0.5051166111375535,0.0,0.0,0.23515981735159822,0.889,0.9874213836477987,high_bike_demand,1.0
17,0,5,0,1,1,0.7785234899328858,0.648711943793911,0.23465016658733934,0.0,0.0,0.15981735159817353,0.244,1.0,high_bike_demand,1.0
14,5,12,0,0,0,0.5503355704697986,0.7166276346604215,0.7692765349833413,0.0,0.0,0.6232876712328768,0.889,1.0,high_bike_demand,1.0
4,3,8,0,1,1,0.7225950782997762,0.9508196721311474,0.9263445978105664,0.0,0.0,0.21232876712328771,0.943,1.0,low_bike_demand,0.0
0,0,7,0,1,1,0.8053691275167785,0.9484777517564402,0.704783436458829,0.0,0.0,0.226027397260274,0.244,1.0,low_bike_demand,0.0
7,4,2,0,1,0,0.2975391498881432,0.27634660421545665,0.34816753926701566,0.0,0.0,0.5136986301369864,0.8290000000000001,1.0,low_bike_demand,0.0
20,6,4,0,0,1,0.5592841163310962,0.5128805620608898,0.32841504045692527,0.0,0.0,0.16894977168949774,0.8390000000000001,1.0,low_bike_demand,0.0
1,6,6,0,0,1,0.7583892617449663,0.9133489461358313,0.7309614469300333,0.0,0.0,0.406392694063927,0.7929999999999999,1.0,low_bike_demand,0.0
12,3,5,0,1,1,0.6487695749440715,0.7681498829039811,0.6520704426463588,0.0,0.0,0.2168949771689498,1.0,1.0,low_bike_demand,0.0
5,1,12,0,1,0,0.32662192393736017,0.48009367681498827,0.745121370775821,0.0,0.0,0.25114155251141557,0.992,0.9937106918238994,low_bike_demand,0.0
16,1,8,0,1,1,0.923937360178971,0.9859484777517562,0.5330794859590671,0.0,0.0,0.4041095890410959,0.7929999999999999,1.0,low_bike_demand,0.0
1,3,5,0,1,1,0.45861297539149887,0.5831381733021077,0.6658733936220846,0.0,0.0,0.20547945205479454,0.446,1.0,low_bike_demand,0.0
13,2,6,0,1,1,0.7606263982102908,0.5644028103044496,0.1562351261304141,0.0,0.0,0.5022831050228311,0.264,1.0,low_bike_demand,0.0
21,0,3,0,1,0,0.42281879194630867,0.414519906323185,0.386244645406949,0.0,0.0,0.16894977168949774,0.7929999999999999,1.0,low_bike_demand,0.0
11,3,5,0,1,1,0.8501118568232662,0.7142857142857142,0.23357924797715365,0.0,0.0,0.1735159817351598,0.9109999999999999,1.0,low_bike_demand,0.0
12,4,3,0,1,1,0.5369127516778524,0.730679156908665,0.8504283674440741,0.0,0.0,0.31963470319634707,0.244,1.0,high_bike_demand,1.0
15,3,8,0,1,1,0.9261744966442952,0.9836065573770492,0.5260590195145168,0.0,0.0,0.15296803652968038,0.48200000000000004,0.8867924528301886,low_bike_demand,0.0
5,2,5,0,1,1,0.43847874720357943,0.3419203747072599,0.24250356972870055,0.0,0.0,0.2579908675799087,0.996,1.0,low_bike_demand,0.0
4,0,10,1,1,1,0.6219239373601788,0.8103044496487117,0.8280580675868634,0.0,0.0,0.4018264840182649,1.0,1.0,low_bike_demand,0.0
3,0,11,0,1,0,0.29977628635346754,0.2857142857142857,0.3657782008567349,0.0,0.0,0.6210045662100457,0.273,1.0,low_bike_demand,0.0
13,2,6,0,1,1,0.9395973154362416,0.9484777517564402,0.4419324131366016,0.0,0.0,0.29680365296803657,0.446,1.0,low_bike_demand,0.0
5,4,3,0,1,1,0.4093959731543623,0.613583138173302,0.8975487862922418,0.0,0.0,0.2031963470319635,0.9009999999999999,0.44654088050314467,low_bike_demand,0.0
